Sl.no.,U-DISE Code,Name of Monastic School under SSA
1,11040800303,TASHI PALDEN MONASTIC SCHOOL
2,11040802701,SUMIN MONASTIC SCHOOL
3,11040300202,PABYUICK MONASTIC SCHOOL
4,11040303904,ENCHEY MONASTIC SCHOOL
5,11040303903,KAGYUD MONASTIC SCHOOL
6,11040302902,SA-NGOR MONASTIC SCHOOL
7,11040301202,ARITHANG MANILAKHANG
8,11040300903,BURTUK MANILAKHANG MONASTIC SCHOOL
9,11040300904,BURTUK TAMU MONASTIC SCHOOL
10,11040300813,DECHEEN CHOLING MONASTIC SCHOOL
11,11040305705,NAVEY SOTAK MONASTIC SCHOOL
12,11040305704,ODC GONJANG MONASTIC SCHOOL
13,11040305703,TAK-TSE ANI MONASTIC SCHOOL
14,11041002102,CHUNKHAR MONASTIC SCHOOL
15,11041002003,SANG MONASTIC SCHOOL
16,11041002004,SANG NORBULING MONASTIC SCHOOL
17,11040100104,CHANGAY MONASTIC SCHOOL
18,11040102506,KARTHOK MONASTIC SCHOOL
19,11041100105,LINKEY MACHONG MONASTIC SCHOOL
20,11040700902,RAKDONG MONASTIC SCHOOL
21,11040700405,SAMDONG MINTOKGANG MONASTIC SCHOOL
22,11040701602,SIMICK LINGZEY MONASTIC SCHOOL
23,11040701406,TUMIN MONASTIC SCHOOL
24,11040901404,CHAGSAM MONASTIC SCHOOL
25,11040900109,REY MINDU MONASTIC SCHOOL
26,11040900108,OLD RUMTEK MONASTIC SCHOOL
27,11040400603,BUDDHA SANSKRIT MONASTIC SCHOOL
28,11040500605,R.P.PHENCHOLING MONASTIC SCHOOL
29,11010200312,KUNZANG CHOELING MPS
30,11010200308,TSHUNGTHANG MONASTIC PS
31,11010200105,LACHEN NGEDUP CHOLING MON. PS
32,11010200204,LACHUNG SAMTEN MON. PS
33,11010303301,KABI GANAGAK THARGELING MONASTIC SCHOOL
34,11010302001,CHAWANG ANI GUMPA
35,11010301101,PHENSONG SANGPAK CHLOING M. PS
36,11010302201,LABRANG PALDEN PINTSOK MON PS
37,11010302203,PHODONG THUPDEN TASHI MON PS
38,11010104301,RINGHIM MON PS
39,11010100106,NAGA MONASTIC PS
40,11010100302,SINGCHIT NADAK MON. PS
41,11010100602,SINGHIK MPS
42,11010403302,HEE GYATHANG TASHI C MON PS
43,11010402301,THOLONG MONASTIC PS
44,11010400601,LINGTHEM C DARGAYLING MON PS
45,11010400101,TASHI THARGAYLING MPS
46,11010402101,TINGBONG TARLING MON PS
47,11030110903,DECHEN CHOLING GOMPA
48,11030118301,NAMCHI GNADAK GUMPA
49,11030118001,NAMDOLING GUMPA
50,11030118101,SERDUP CHOLING MONASTIC SCHOOL
51,11030602804,PERBING SAMTEN CHOLING GUMPA
52,11030208001,BERFUNG DOLING GUMPA
53,11030205005,BHON GOMPA KEWZING
54,11030205006,KEWZING GOMPA
55,11030205007,MANGBROO GOMPA
56,11030208301,RALANG KARMA RAPTENLING GUMPA
57,11030206906,MANI CHOIKHORLING GOMPA
58,11030206802,SHEDE-CHOG-BRYPHONG GOMPA
59,11030206907,TSHECHU GOMPA
60,11030801504,TASHI CHODARLING MONASTIC SCHOOL
61,11030300402,BERMIOK WHOSEL CHOLLING GUMPA
62,11030300604,NORBUGANG MANILKHANG GOMPA
63,11030702005,LINGEE PHAGYAL GUMPA
64,11030701605,RABDENLING MANILHAKHANG GUMPA
65,11030700102,GA-GAYONG MANILHAKHANG GUMPA
66,11030700106,YANGANG SHEDA GUMPA
67,11020500302,OKHREY MONASTIC SCHOOL
68,11020501602,ANDEN WALUNG MONASTIC SCHOOL
69,11020401302,SANKHU MONASTIC SCHOOL
70,11020110801,PEMAYANGTSEE MONASTIC SCHOOL
71,11020110802,SANGACHOLING MONASTIC SCHOOL
72,11020300903,RINCHENPONG MONASTIC SCHOOL
73,11020300902,LUNGTSE MONASTIC SCHOOL
74,11020600802,LABDANG MONASTIC SCHOOL
75,11020600302,KHECHUPERI MONASTIC SCHOOL
76,11020600702,MELLI MONASTIC SCHOOL
77,11020600104,SINON MONASTIC SCHOOL
78,11020600103,TASHIDING MONASTIC SCHOOL
79,11020604201,DUBDI MONASTIC SCHOOL
